Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
abalone,-0.24901531636714935,0.008003861643373966,0.17625920474529266,-0.23446834087371826,-0.192894846200943,-0.03579717501997948,-0.1966666281223297,-0.1393348127603531,0.38141360878944397,-0.010891178622841835,0.07890517264604568,-0.11011612415313721,-0.38363784551620483,-0.040907829999923706,-0.018594171851873398,0.2407374083995819,0.10556215792894363,-0.07760019600391388,-0.18261685967445374,0.08873294293880463,0.1644168496131897,0.3768328130245209,-0.08949664235115051,-0.03825914487242699,-0.042079176753759384,0.14355230331420898,-0.20698069036006927,-0.06428811699151993,0.01688825897872448,0.14135627448558807,0.11188629269599915,0.21253322064876556
annealing,0.17349188029766083,-0.17263761162757874,-0.2493688464164734,0.2564339339733124,0.19022606313228607,-0.14880876243114471,-0.10516448318958282,-0.12888823449611664,-0.17630504071712494,0.038732804358005524,0.3062852621078491,0.11287768930196762,0.08333929628133774,-0.1942584365606308,0.12918362021446228,-0.10847433656454086,0.025103025138378143,0.23198765516281128,-0.013198657892644405,0.3184950649738312,0.12864439189434052,-0.19452762603759766,0.13621942698955536,-0.1894811987876892,-0.1581926792860031,0.2568790018558502,0.16738452017307281,0.02601573057472706,0.21538600325584412,0.13634274899959564,0.08025181293487549,-0.24050220847129822
breast-cancer-wisc,0.10220912843942642,0.17497988045215607,-0.0979638621211052,-0.11625269800424576,-0.009701804257929325,0.2588987350463867,0.20711512863636017,0.20262177288532257,-0.07530108839273453,0.1458052694797516,-0.3297960162162781,-0.0875752791762352,0.1226634606719017,0.17503239214420319,-0.13264329731464386,-0.15148702263832092,-0.1634851098060608,-0.06856988370418549,0.20305755734443665,-0.20673951506614685,-0.31608718633651733,0.02752881869673729,0.010021303780376911,0.2396286427974701,0.07978059351444244,-0.2737673819065094,-0.05093633010983467,-0.14676238596439362,-0.25990188121795654,-0.3215732276439667,-0.051127515733242035,0.05045459792017937
breast-cancer-wisc-diag,0.11322183907032013,0.2949456572532654,-0.18501313030719757,-0.12382059544324875,0.03893600404262543,0.31257715821266174,0.1417527049779892,0.15550541877746582,-0.0017479077214375138,0.29338014125823975,-0.3098505437374115,-0.05764530226588249,0.07402973622083664,0.12482588738203049,-0.007804393768310547,-0.2716618478298187,-0.21558813750743866,-0.13141252100467682,-0.012468877248466015,-0.18721893429756165,-0.2298440933227539,0.1988755315542221,0.013566501438617706,0.06760380417108536,0.04770040884613991,-0.3207237422466278,-0.023481810465455055,-0.21353577077388763,-0.2261485904455185,-0.15087245404720306,0.02771720290184021,0.06893449276685715
breast-cancer-wisc-prog,0.050965964794158936,0.2858991324901581,-0.0877060815691948,0.06645114719867706,0.24693886935710907,0.1202055960893631,0.05747325345873833,-0.012581138871610165,-0.06804512441158295,0.17163193225860596,-0.2688678205013275,0.061747852712869644,0.32737451791763306,0.0481075644493103,0.19962207973003387,-0.23395515978336334,-0.2297273874282837,-0.25607144832611084,-0.04378523305058479,-0.23088857531547546,-0.2026364952325821,-0.03755030781030655,-0.052709732204675674,-0.031050577759742737,-0.041197970509529114,-0.39766445755958557,0.2560420632362366,-0.10582330077886581,-0.08915852010250092,-0.17230118811130524,-0.12783072888851166,-0.006910828873515129
chess-krvkp,0.19806654751300812,0.12295878678560257,-0.28138959407806396,-0.13605596125125885,-0.029139362275600433,0.35561856627464294,0.15270110964775085,0.20784956216812134,-0.060732509940862656,0.2789398431777954,-0.2516414225101471,-0.11789479106664658,0.02939140610396862,0.13451331853866577,-0.12543709576129913,-0.22920535504817963,-0.15837912261486053,0.031171688809990883,0.1476016342639923,-0.06182238087058067,-0.301080584526062,0.12186875194311142,0.11845720559358597,0.1896173506975174,0.008407493121922016,-0.15131646394729614,-0.10447409749031067,-0.23142752051353455,-0.24874332547187805,-0.21711446344852448,0.06583641469478607,0.015538949519395828
glass,0.21023206412792206,-0.18753010034561157,-0.2726796865463257,0.3001946806907654,0.16794681549072266,-0.1368122547864914,-0.03642416000366211,-0.07343830913305283,-0.25811800360679626,0.039316900074481964,0.3010824918746948,0.10901516675949097,0.11540450900793076,-0.20934253931045532,0.08599794656038284,-0.16369837522506714,0.0006581856869161129,0.22938449680805206,0.018629835918545723,0.26726847887039185,0.11347706615924835,-0.25449705123901367,0.12489981949329376,-0.17186470329761505,-0.11921299248933792,0.21954874694347382,0.15824785828590393,0.05811383202672005,0.14915230870246887,0.11792128533124924,0.035042278468608856,-0.2551196217536926
heart-va,0.14093679189682007,-0.19930671155452728,-0.22037336230278015,0.23875375092029572,0.15480546653270721,-0.17102181911468506,-0.1309436559677124,-0.149458110332489,-0.13697168231010437,0.0184690672904253,0.3381635844707489,0.09479758888483047,0.027614543214440346,-0.21563787758350372,0.11432957649230957,-0.06675127148628235,0.047151125967502594,0.23076699674129486,-0.026053955778479576,0.3367825448513031,0.16122432053089142,-0.16564124822616577,0.12031121551990509,-0.1935175657272339,-0.16629192233085632,0.29305335879325867,0.13831691443920135,0.036445990204811096,0.2138843685388565,0.1548750400543213,0.0854576900601387,-0.22125765681266785
ionosphere,0.11160600185394287,0.1484474539756775,-0.11630480736494064,-0.11924280971288681,-0.02370542101562023,0.2679201066493988,0.20628367364406586,0.21213693916797638,-0.08112940192222595,0.14757829904556274,-0.3186703324317932,-0.09556305408477783,0.11036468297243118,0.18427081406116486,-0.14857864379882812,-0.13873645663261414,-0.14841318130493164,-0.03567282482981682,0.22769540548324585,-0.17772972583770752,-0.3279610574245453,0.02005806751549244,0.03418533876538277,0.26434844732284546,0.07649603486061096,-0.23317231237888336,-0.07376226782798767,-0.15867020189762115,-0.2546965777873993,-0.32561588287353516,-0.037572573870420456,0.04972158372402191
letter,0.24609771370887756,-0.1616864651441574,-0.2692405581474304,0.3432226777076721,0.16021686792373657,-0.09070499241352081,0.08896459639072418,0.02104867994785309,-0.3826901316642761,0.03251239284873009,0.20715415477752686,0.11482004076242447,0.23666639626026154,-0.17793402075767517,0.04204012081027031,-0.24491344392299652,-0.0500505268573761,0.163061261177063,0.07960952818393707,0.11140657216310501,0.026212647557258606,-0.36990270018577576,0.09566455334424973,-0.10547792911529541,-0.041449274867773056,0.07459638267755508,0.17827120423316956,0.10082719475030899,0.03680510073900223,0.042783837765455246,-0.07889833301305771,-0.2518825829029083
