Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
abalone,-0.2935892343521118,-0.0830173343420028,0.2345495373010635,-0.1419506520032882,-0.2300817221403122,-0.1543056070804596,-0.1925798654556274,-0.1703231632709503,0.3238178789615631,-0.0913413017988205,0.1470886021852493,-0.0974368602037429,-0.3719605505466461,-0.1213024109601974,-0.0521513931453228,0.2831786870956421,0.1162265390157699,-0.1152974814176559,-0.1314476579427719,0.0564059875905513,0.2008826434612274,0.2629161179065704,-0.1634164601564407,-0.0219955909997224,-0.0592618025839328,0.1617413610219955,-0.1997305005788803,0.0314426012337207,-0.052399955689907,0.0983218848705291,0.000883005617652,0.204204112291336
annealing,0.0635086074471473,-0.1846204251050949,-0.1790281981229782,0.2001375406980514,0.1668648868799209,-0.1904541850090026,-0.2186707109212875,-0.2237623035907745,-0.0389719195663929,0.0254573319107294,0.3180451095104217,0.0970916971564292,0.0076170712709426,-0.1879953145980835,0.1701592653989792,0.0209068898111581,0.0732013061642646,0.1917330026626587,-0.0402606427669525,0.3672977387905121,0.1434185206890106,-0.1141924187541008,0.122620053589344,-0.166579008102417,-0.2289473563432693,0.3272666037082672,0.1371939033269882,-0.0171445216983556,0.2471259236335754,0.1358626037836074,0.0983865931630134,-0.1653690189123153
breast-cancer-wisc,0.1131321713328361,0.2661903500556946,-0.2599061727523803,-0.1502852290868759,0.0055225468240678,0.3477076888084411,0.1281713098287582,0.1723390072584152,-0.0018234138842672,0.351139485836029,-0.2687506079673767,-0.0436697825789451,0.0167325772345066,0.1826513111591339,-0.0218660831451416,-0.2397591173648834,-0.147265687584877,-0.0235284455120563,0.0127120874822139,-0.0660240352153778,-0.2534234225749969,0.2195760607719421,0.0973186716437339,0.1371759325265884,0.0669628009200096,-0.1771760284900665,-0.1322482675313949,-0.2989355027675628,-0.1617363393306732,-0.1056557744741439,0.0966395959258079,0.1150296032428741
breast-cancer-wisc-diag,-0.1758767068386078,0.345964252948761,0.0512038022279739,-0.2480608373880386,0.0019117064075544,0.1281374096870422,-0.1113608255982399,-0.0782634317874908,0.3385606706142425,0.217475950717926,-0.177989661693573,-0.0087523572146892,-0.1721885949373245,0.1075802221894264,0.1382063180208206,0.0028916096780449,-0.0635564625263214,-0.2010346353054046,-0.2572647929191589,-0.0541314892470836,0.0086214505136013,0.4587368965148926,-0.075512483716011,-0.0623905062675476,0.0066027217544615,-0.1509681344032287,-0.0959312692284584,-0.2289509177207946,0.0079675773158669,0.0753306075930595,0.1295981109142303,0.2357848286628723
breast-cancer-wisc-prog,0.0459375381469726,0.3629959225654602,-0.222983255982399,-0.0549954511225223,0.2574123740196228,0.1457399278879165,-0.1128300949931144,-0.098055675625801,0.1366138607263565,0.3475456833839416,-0.1243257001042366,0.1032614186406135,0.0598430894315242,0.0754451602697372,0.2895851135253906,-0.2093957960605621,-0.1420056223869323,-0.0579816214740276,-0.2327876687049865,0.0971566662192344,-0.0411021672189235,0.2918373048305511,0.0768881663680076,-0.1667525172233581,-0.0904269739985466,-0.1189845874905586,0.1106961295008659,-0.2970512807369232,0.1523330956697464,0.0827027261257171,0.19864322245121,0.030250284820795
chess-krvkp,-0.2379079312086105,0.2492017298936844,0.1387594491243362,-0.2885375916957855,-0.1007908433675766,0.0912175104022026,-0.1251945793628692,-0.0809223875403404,0.3823220729827881,0.1282358914613723,-0.1446732133626938,-0.0626165270805358,-0.2569694221019745,0.0944419130682945,0.0561517961323261,0.1163394823670387,-0.0055757225491106,-0.1980894058942794,-0.2077987343072891,-0.0556003339588642,0.0254891160875558,0.4533986747264862,-0.1061192750930786,-0.000550263968762,0.0101696774363517,-0.0865394100546836,-0.1681246012449264,-0.17905093729496,-0.0326666161417961,0.051978513598442,0.0985063388943672,0.2730722427368164
glass,0.1070032715797424,-0.1496559232473373,-0.2180998772382736,0.2098369747400283,0.215092271566391,-0.1562477052211761,-0.1954986602067947,-0.2017427235841751,-0.0747477263212204,0.0526652187108993,0.2809344232082367,0.1161127686500549,0.0681267231702804,-0.1567725390195846,0.1927630007266998,-0.0262422636151313,0.0507101863622665,0.2044310420751571,-0.0307357832789421,0.3598509728908539,0.1064903140068054,-0.1357553601264953,0.1517460793256759,-0.1673583537340164,-0.2220556885004043,0.2927634716033935,0.1732970923185348,-0.0380037277936935,0.2668381333351135,0.1219542324542999,0.1099481210112571,-0.1919853538274765
heart-va,0.0974963307380676,0.0097535317763686,-0.2370311021804809,0.125025138258934,0.2972192764282226,-0.0709553584456443,-0.2235023379325866,-0.2145243287086486,0.0120622115209698,0.1447208076715469,0.1638815104961395,0.1406416445970535,0.1013473197817802,-0.0600486956536769,0.2862759530544281,-0.0586102679371833,0.0132774356752634,0.1601126343011856,-0.0984803363680839,0.3465877771377563,0.05121386423707,-0.0122350296005606,0.1772545129060745,-0.1837524175643921,-0.2242178469896316,0.2083951085805893,0.2061607986688614,-0.1477244794368744,0.3320124447345733,0.1224457621574401,0.1796544343233108,-0.1520689576864242
ionosphere,0.1084205731749534,0.2518055737018585,-0.2618651986122131,-0.1572871953248977,-0.0057604974135756,0.3533919751644134,0.1241898462176323,0.1740085631608963,0.001136832870543,0.3500913679599762,-0.2653950750827789,-0.0472901053726673,0.0095097022131085,0.1908298730850219,-0.0270462036132812,-0.2256300598382949,-0.1334857791662216,-0.0142792062833905,0.0206705853343009,-0.0554551146924495,-0.2615866959095001,0.2169810980558395,0.1091058850288391,0.1539420485496521,0.0668379738926887,-0.1573099195957183,-0.1470514833927154,-0.3055727481842041,-0.1579139828681945,-0.1030363216996193,0.0983485877513885,0.1242909952998161
letter,0.2063624709844589,-0.1693772226572036,-0.2979484498500824,0.3082961440086365,0.1923649907112121,-0.1197164431214332,-0.0556161664426326,-0.0882180258631706,-0.2556982338428497,0.0775945112109184,0.2718150317668915,0.1210243105888366,0.1488971412181854,-0.1863979995250702,0.118757240474224,-0.164946436882019,-0.006345055066049,0.2156778126955032,0.0267896577715873,0.2721172571182251,0.0712801739573478,-0.2607014179229736,0.1498173773288726,-0.1453520655632019,-0.1496610641479492,0.2181547135114669,0.1683803796768188,0.0124381249770522,0.14531871676445,0.0944177731871604,0.035307090729475,-0.2383684515953064
